Neighborhood,price,space
الخير,175000,37500
الخير,175000,37500
الخير,293034,75000
الخير,367000,85825
الخير,317391,75000
الخير,317391,75000
الخير,317391,75000
الخير,270000,60410
الخير,470000,116545
الخير,326213,87720
الخير,326213,87706
الخير,339100,75950
الخير,200000,37490
الخير,350000,75000
الخير,110000,40500
الخير,220000,75000
الخير,208695,37500
الخير,208695,37500
الخير,204347,37500
الخير,208696,37500
الخير,220000,43750
الخير,257500,43750
الخير,370000,76500
الخير,330000,75000
الخير,375000,75000
الخير,300000,70000
الخير,300000,70000
الخير,300000,70000
الخير,358696,82080
الخير,358696,67920
الخير,310000,78000
الخير,300000,81000
الخير,365217,87500
الخير,365217,87500
الخير,300000,75000
الخير,205000,37500
الخير,300000,75000
الخير,300000,75000
الخير,335000,75000
الخير,205000,43750
الخير,365250,74580
الخير,365250,73740
الخير,210000,39000
الخير,215000,39000
الخير,324000,75000
الخير,320000,75000
الخير,289000,82538
الدار البيضاء,550000,60000
الدار البيضاء,550000,60000
الدار البيضاء,750000,62500
الدار البيضاء,600000,50000
الدار البيضاء,600000,50000
الدار البيضاء,305000,25000
الدار البيضاء,823417,50000
الدار البيضاء,524487,25000
الدار البيضاء,486696,30000
الدار البيضاء,727000,31250
الدار البيضاء,350000,55000
الدار البيضاء,337500,37500
الدار البيضاء,250000,37500
الدار البيضاء,250000,37500
الدار البيضاء,4716181,37500
الدار البيضاء,400000,37500
الدار البيضاء,820000,75000
الدار البيضاء,485740,32500
الدار البيضاء,612271,37500
الدار البيضاء,490905,37500
الدار البيضاء,650700,25000
الدار البيضاء,922032,31250
الدار البيضاء,500000,23400
الدار البيضاء,356136,37500
الدار البيضاء,4200000,336000
الدار البيضاء,1130000,40500
الدار البيضاء,283607,60000
الدار البيضاء,470000,31500
الدريهمية,850000,29289
الدريهمية,267950,26795
الدريهمية,350000,3984
الدريهمية,483161,69023
الدريهمية,900000,96000
الرائد,3560001,113750
الرائد,3000000,75000
الرابية,40000,45000
الرابية,137000,45000
الرابية,135000,40000
الرابية,150000,40000
الرابية,145000,40000
الرابية,115000,40000
الرابية,135000,40000
الرابية,125000,40000
الرابية,50000,40800
الرابية,130000,40000
الرابية,140000,40000
الرابية,120000,40000
الرابية,135000,40000
الرابية,100000,40000
الرابية,140000,40000
الرابية,130000,42500
الرابية,122000,40000
الرابية,145000,40000
الرابية,130000,40000
الرابية,50000,40000
الرابية,80000,40000
الرابية,145000,43200
الرابية,145000,40000
الرابية,140000,40000
الرابية,100000,40000
الرابية,127000,43200
الرابية,143000,43200
الرابية,115000,40800
الرابية,80000,45000
الرابية,126000,40000
الرابية,138000,40000
الرابية,112000,40000
الرابية,120000,40000
الرابية,127000,40000
الرابية,127000,40000
الرابية,130000,40000
الرابية,120000,40000
الرابية,130000,40000
الرابية,127000,42500
الرابية,100000,40000
الرابية,130000,40000
الرابية,130000,40000
الرابية,125000,40000
الرابية,125000,40000
الرابية,120000,40000
الرابية,135000,40000
الرابية,125000,40000
الرابية,100000,40000
الرابية,125000,40000
الرابية,111000,40000
الرابية,125000,40000
الرابية,130000,40000
الرابية,130000,40000
الرابية,140000,40000
الرابية,135000,40000
الرابية,100000,40375
الرابية,50000,40500
الرابية,100000,40375
الرابية,85000,40020
الرابية,100000,40020
الرابية,92000,40375
الرابية,65000,40375
الرابية,95000,40375
الرابية,101000,40375
الرابية,90000,40800
الرابية,105000,40800
الرابية,110000,40050
الرابية,85000,40000
الرابية,80000,40000
الرابية,105000,40000
الرابية,110000,40950
الرابية,90000,40950
الرابية,117000,41400
الرابية,140000,41400
الرابية,125000,41400
الرابية,130000,41400
الرابية,180000,68400
الرابية,140000,43097
الرابية,120000,40000
الرابية,60000,41400
الرابية,145000,41400
الرابية,30000,41400
الرابية,150000,41400
الرابية,150000,46000
الرابية,130000,45000
الرابية,130000,45000
الرابية,125000,45000
الرابية,130000,45000
الرابية,220000,91800
الرابية,260000,90000
الرابية,130000,45000
الرابية,125000,45500
الرابية,125000,45500
الرابية,100000,46313
الرابية,135000,46500
الرابية,70000,45000
الرابية,200000,90000
الرابية,100000,90000
الرابية,240000,90000
الرابية,140000,90000
الرابية,230000,90000
الرابية,100000,30000
الرابية,109500,45000
الرابية,140000,45000
الرابية,230000,90000
الرابية,250000,90000
الرابية,105000,45225
الرابية,120000,45225
الرابية,113000,45000
الرابية,100000,90000
الرابية,100000,90000
الرابية,105000,45000
الرابية,105000,45000
الرابية,200000,90000
الرابية,90000,45000
الرابية,90000,45000
الرابية,107500,45000
الرابية,95000,46800
الرابية,90000,46200
الرابية,120000,46200
الرابية,90000,46200
الرابية,120000,46200
الرابية,101000,45000
الرابية,125000,45000
الرابية,180000,45000
الرابية,120000,91000
الرابية,223000,91000
الرابية,100000,102500
الرابية,150000,98130
الرابية,105000,49087
الرابية,100000,45000
الرابية,83500,40000
الرابية,100000,40000
الرابية,30000,44600
الرابية,100000,40164
الرابية,61500,21768
الرابية,105000,40000
الرابية,100000,40000
الرابية,100000,45036
الرابية,100000,40000
الرابية,70000,31081
الرابية,100000,40000
الرابية,105000,40000
الرابية,88000,40000
الرابية,100000,40000
الرابية,100000,40000
الرابية,75000,40000
الرابية,107000,40000
الرابية,100000,42500
الرابية,98000,40000
الرابية,50000,40000
الرابية,100000,40000
الرابية,100000,40000
الرابية,105000,40000
الرابية,100000,40000
الرابية,50000,40000
الرابية,100000,40000
الرابية,105000,42000
الرابية,96000,41126
الرابية,100000,40000
الرابية,950000,46875
الرابية,110000,52454
الرابية,55000,21250
الرابية,65000,21250
الرابية,90000,40000
الرابية,95000,40000
الرابية,97000,40000
الرابية,100000,55300
الرابية,117000,55300
الرابية,100000,41129
الرابية,95000,40000
الرابية,86000,40000
الرابية,95000,40000
الرابية,95000,40000
الرابية,60000,24000
الرابية,95000,45000
الرابية,100000,42500
الرابية,100000,42500
الرابية,53000,48112
الرابية,54000,40000
الرابية,112500,43843
الرابية,65000,25750
الرابية,100000,40000
الرابية,105000,40000
الرابية,100000,42000
الرابية,100000,40000
الرابية,100000,40000
الرابية,75000,30569
الرابية,180000,90000
الربوة,1022500,45000
الربوة,38415360,568256
الربوة,764418,40236
الربوة,764418,40229
الربوة,1600000,60000
الربوة,1200000,35200
الربوة,303800,86800
الربوة,900000,45000
الربوة,850000,37400
الربوة,1000000,44887
الربيع,803056,22500
الربيع,3615000,60000
الربيع,2700000,40020
الربيع,1706965,49258
الربيع,3000000,49258
الربيع,1950000,45750
الربيع,994602,56700
الربيع,1821810,36000
